ZIP,MHI,Minority,popdensity,EVs.per.1k.People,Public transportation,area_status
07513,68630,0.9109364201796821,20380.281690140848,6.48,0.08205226748654881,NA
07514,70205,0.9251707269821281,22248.9224137931,5.13,0.06985557717914576,NA
07522,48058,0.9203559027777778,26301.369863013697,3.73,0.06504613999549853,NA
07524,49103,0.9687862108922364,18216.35883905013,4.49,0.08919532204573224,Non-Gap
07601,84277,0.6941832946131967,10971.176750833729,24.62,0.1172638436482085,Non-Gap
07603,103299,0.6001068376068376,12348.284960422163,25.85,0.07543520309477757,Non-Gap
07604,123734,0.3186132893107718,7871.994801819364,29.63,0.1048601343959994,Non-Gap
07605,129219,0.6629704659345346,6223.623092236231,49.58,0.1300101729399797,Gap
07606,84527,0.6281588447653429,3778.9904502046384,17.69,0.04872727272727273,Non-Gap
07607,117912,0.4937085108491034,7842.2688422688425,29.53,0.09648768671780379,NA
07608,24904,0.4779411764705882,79.48568088836937,29.41,0,NA
07620,246944,0.40491183879093195,248.0862365255429,152.39,0.03481894150417827,NA
07621,130045,0.6225659050966608,9790.089470061941,30.76,0.09812108559498957,Non-Gap
07624,190469,0.5004647920055775,2723.417721518987,90.75,0.05977496483825598,NA
07626,170376,0.4088729016786571,4442.6150121065375,81.21,0.06190158093965709,NA
07627,208036,0.28059458358786393,2370.173745173745,111.79,0.0671046457062412,Gap
07628,126071,0.48416215329066137,9378.655720882503,25.77,0.06602059357964869,Gap
07630,155536,0.2941820670773443,3274.3164500224116,34.36,0.06033267550042289,NA
07631,102571,0.6781496727174573,5992.317023857663,40.62,0.1191443992803358,Non-Gap
07632,230611,0.5628496829541216,2522.107243650047,113.39,0.07091391733029959,Gap
07640,180500,0.3021800565199838,2683.640303358613,67.02,0.1053299492385787,NA
07641,236765,0.368421052631579,1736.189984512132,87.72,0.06304619225967541,NA
07642,186688,0.19686514195583593,3495.52033080634,35.29,0.06368051807879115,Gap
07643,85750,0.5866678792288105,7444.82058226134,27.74,0.1448818897637795,Non-Gap
07644,89305,0.5113871635610766,11479.753521126762,16.41,0.06547489281302231,Non-Gap
