ZIP,Total Population,ALAND_SQMI,popdensity
08542,2533,0.386,6562.176165803108
08544,4392,0.166,26457.831325301202
08550,21067,19.134,1101.0243545521062
08551,5873,26.214,224.04058899824523
08553,819,0.61,1342.6229508196723
08554,3527,1.192,2958.8926174496646
08555,996,1.94,513.4020618556701
08558,7648,15.589,490.60234780935275
08559,4836,39.835,121.40077821011673
08560,3245,13.324,243.5454818372861
08561,325,1.138,285.5887521968366
08562,4201,16.716,251.3161043311797
08608,1250,0.316,3955.6962025316457
08609,15938,1.316,12110.94224924012
08610,33465,7.439,4498.588519962361
08611,31995,2.978,10743.787777031564
08618,35634,5.92,6019.256756756757
08619,24089,9.979,2413.96933560477
08620,11621,9.008,1290.075488454707
08628,9831,7.703,1276.2560041542256
08629,13013,0.791,16451.327433628318
08638,22816,5.427,4204.164363368343
08640,7984,18.518,431.14807214602007
08641,4400,5.086,865.1199370821863
08648,31323,16.689,1876.8650008987956
08690,18841,7.031,2679.7041672592804
08691,16607,24.232,685.3334433806536
08701,139149,24.736,5625.36384217335
08720,735,2.638,278.620166793025
08721,22783,23.75,959.2842105263157
08722,11088,2.763,4013.0293159609123
08723,32141,11.96,2687.374581939799
08724,42345,13.805,3067.366896052155
08730,4956,1.756,2822.3234624145784
08731,21629,78.124,276.8547437407199
08732,1558,0.54,2885.185185185185
08733,2816,12.301,228.92447768474108
08734,7879,5.12,1538.8671875
08735,3451,1.736,1987.9032258064517
08736,13223,4.715,2804.453870625663
08738,1381,0.975,1416.4102564102564
08740,1599,0.45,3553.333333333333
08741,2709,0.943,2872.746553552492
08742,25732,5.611,4585.991801817858
08750,3483,1.9,1833.157894736842
08751,4185,1.31,3194.656488549618
08752,2338,4.767,490.45521292217325
08753,65448,23.053,2839.023120635058
08755,29670,16.01,1853.2167395377887
08757,36087,17.783,2029.2976438171286
08758,7868,18.066,435.51422561718147
08759,34237,61.34,558.1512879034888
08801,7267,15.02,483.8215712383489
08802,4552,24.493,185.84901808680033
08804,3465,14.066,246.3386890373951
08805,14066,2.943,4779.476724430853
08807,39560,25.483,1552.407487344504
08809,6703,6.925,967.942238267148
08810,7952,5.516,1441.6243654822335
08812,14224,5.078,2801.102796376526
08816,49360,20.235,2439.3377810723996
08817,49020,10.615,4617.9934055581725
08820,39978,10.431,3832.614322691976
08821,283,0.238,1189.0756302521008
08822,32556,64.733,502.9274095129223
08823,8884,3.452,2573.580533024334
08824,13366,4.336,3082.564575645756
08825,4735,28.963,163.48444567206434
08826,5459,21.356,255.61902978085783
08827,4346,18.097,240.15030115488753
08828,2459,0.828,2969.8067632850243
08829,3580,2.41,1485.4771784232364
08830,19551,3.162,6183.111954459203
08831,55658,51.301,1084.9301183212801
08832,2252,2.173,1036.3552692130695
08833,9184,34.868,263.39336927842146
08835,10921,2.253,4847.314691522414
08836,3855,4.497,857.238158772515
08837,19437,9.138,2127.0518713066317
08840,18206,3.208,5675.187032418952
08844,44463,55.168,805.9563515081206
08846,14645,3.488,4198.681192660551
08848,8134,32.713,248.647326750833
08850,8538,2.305,3704.12147505423
08852,18062,13.329,1355.090404381424
08853,5634,11.386,494.8181977867557
08854,61088,18.928,3227.3879966187656
08857,40891,24.049,1700.320179633249
08858,20,2.632,7.598784194528875
08859,25448,4.756,5350.714886459209
08861,59351,5.099,11639.733281035496
08863,12771,1.712,7459.696261682243
08865,31427,41.472,757.788387345679
08867,5204,28.328,183.70516803162948
08869,8368,1.992,4200.803212851406
08872,20204,9.521,2122.0460035710535
08873,56327,32.133,1752.9331217128806
08876,23380,15.999,1461.3413338333646
08879,23556,7.082,3326.1790454673824
08880,4867,0.646,7534.05572755418
08882,16124,2.8,5758.571428571429
08884,8187,2.31,3544.155844155844
08886,6435,15.46,416.23544631306595
08887,1380,0.811,1701.6029593094943
08889,10193,23.057,442.0783276228478
08890,17,0.175,97.14285714285715
08901,57263,6.267,9137.226743258338
08902,43932,13.17,3335.7630979498863
08904,15121,1.821,8303.679297089511
